plate_no,rolling_date,scale,spec_long,spec_country,steel_kind,pt_thick,pt_width,pt_length,hsb,fur_no,fur_input_row,fur_heat_temp,fur_heat_time,fur_soak_temp,fur_soak_time,fur_total_time,fur_ex_temp,rolling_method,rolling_temp,descaling_count,work_group
PLT_1412,06JAN2023:04:29:59,불량,A516-60,미국,C,13,3900,49400,미적용,1호기,2열,1184,72,1173,67,231,1173,CR(제어압연),904,10,2조
PLT_1413,06JAN2023:04:37:33,양품,BV-A,프랑스,C,12,4300,41600,적용,2호기,1열,1169,70,1169,43,216,1169,CR(제어압연),900,10,2조
PLT_1414,06JAN2023:04:48:40,양품,NV-A,영국,C,12,4300,41600,적용,2호기,1열,1169,70,1169,43,209,1169,CR(제어압연),900,10,2조
PLT_1415,06JAN2023:04:55:01,양품,NV-A,영국,C,14,4300,50800,적용,3호기,1열,1144,71,1156,56,192,1156,CR(제어압연),892,10,2조
PLT_1416,06JAN2023:05:04:05,양품,NV-A,영국,C,14,4200,50600,적용,3호기,2열,1150,72,1159,55,197,1159,CR(제어압연),909,10,2조
PLT_1417,06JAN2023:05:14:28,양품,BV-AH32,프랑스,C,16,4600,24100,적용,2호기,2열,1174,71,1167,58,190,1167,CR(제어압연),933,10,2조
PLT_1418,06JAN2023:05:20:53,불량,AB/B,미국,C,18,4300,24400,적용,1호기,1열,1191,78,1179,50,185,1179,CR(제어압연),966,10,2조
PLT_1419,06JAN2023:05:26:01,양품,LR-A,영국,C,18,4400,28600,적용,1호기,2열,1149,67,1156,64,216,1156,CR(제어압연),954,10,2조
PLT_1420,06JAN2023:05:32:53,불량,LR-AH32,영국,C,20,4500,20700,적용,2호기,1열,1154,77,1160,50,182,1160,CR(제어압연),961,7,2조
PLT_1421,06JAN2023:05:40:28,양품,LR-AH32,영국,C,20,4500,20700,적용,2호기,2열,1163,82,1160,53,191,1160,CR(제어압연),959,8,2조
PLT_1422,06JAN2023:05:47:51,양품,LR-A,영국,C,21,4100,30200,적용,3호기,1열,1139,64,1158,64,203,1158,CR(제어압연),966,8,2조
PLT_1423,06JAN2023:05:54:03,불량,KR-A,한국,C,24,4500,20900,적용,3호기,2열,1149,63,1164,65,226,1164,CR(제어압연),976,7,2조
PLT_1424,06JAN2023:06:01:54,양품,LR-A,영국,C,24,4100,28300,적용,1호기,1열,1169,70,1168,59,194,1168,CR(제어압연),989,8,2조
PLT_1425,06JAN2023:06:13:17,양품,LR-A,영국,C,24,4100,18900,적용,1호기,2열,1158,86,1156,57,200,1156,CR(제어압연),985,8,2조
PLT_1426,06JAN2023:06:27:54,양품,LR-A,영국,C,24,4600,17300,적용,2호기,1열,1146,75,1157,52,207,1157,CR(제어압연),957,8,2조
PLT_1427,06JAN2023:06:42:19,양품,LR-A,영국,C,24,4600,17300,적용,2호기,2열,1160,77,1160,64,226,1160,CR(제어압연),956,8,2조
PLT_1428,06JAN2023:06:51:26,양품,LR-A,영국,C,16,4100,27000,적용,3호기,1열,1195,65,1174,64,221,1174,CR(제어압연),942,10,2조
PLT_1429,06JAN2023:07:03:00,양품,NV-A,영국,C,16,4100,27000,적용,3호기,1열,1195,65,1174,64,234,1174,CR(제어압연),942,10,1조
PLT_1430,06JAN2023:07:13:03,불량,AB/A,미국,C,13,4200,38600,적용,3호기,2열,1202,71,1178,60,210,1178,CR(제어압연),907,10,1조
PLT_1431,06JAN2023:07:21:00,불량,KR-A,한국,C,13,3500,40700,적용,1호기,1열,1203,78,1185,52,210,1185,CR(제어압연),890,9,1조
PLT_1432,06JAN2023:07:34:08,양품,GL-A,독일,C,14,3500,43000,적용,3호기,1열,1189,63,1175,60,218,1175,CR(제어압연),884,10,1조
PLT_1433,06JAN2023:07:43:26,양품,KR-A,한국,C,14,3500,43000,적용,3호기,1열,1189,63,1175,60,220,1175,CR(제어압연),884,10,1조
PLT_1434,06JAN2023:07:56:21,양품,LR-A,영국,C,14,3500,43000,적용,3호기,1열,1189,63,1175,60,215,1175,CR(제어압연),884,10,1조
PLT_1435,06JAN2023:08:02:37,양품,AB/A,미국,C,12,3400,43100,적용,1호기,2열,1184,76,1172,70,247,1172,CR(제어압연),906,10,1조
PLT_1436,06JAN2023:08:11:21,양품,KR-A,한국,C,12,3400,43100,적용,1호기,2열,1184,76,1172,70,222,1172,CR(제어압연),906,10,1조
PLT_1437,06JAN2023:08:24:23,양품,NV-A,영국,C,12,3400,43100,적용,1호기,2열,1184,76,1172,70,218,1172,CR(제어압연),906,10,1조
PLT_1438,06JAN2023:08:37:36,양품,AB/A,미국,C,13,3200,43100,적용,2호기,1열,1182,72,1172,57,185,1172,CR(제어압연),877,10,1조
PLT_1439,06JAN2023:08:50:40,양품,LR-A,영국,C,13,3200,43100,적용,2호기,1열,1182,72,1172,57,191,1172,CR(제어압연),877,10,1조
PLT_1440,06JAN2023:08:58:26,양품,NV-A,영국,C,13,3200,43100,적용,2호기,1열,1182,72,1172,57,206,1172,CR(제어압연),877,10,1조
PLT_1441,06JAN2023:09:10:58,불량,AB/A,미국,C,15,3400,37000,적용,3호기,2열,1197,72,1178,56,232,1178,CR(제어압연),940,10,1조
PLT_1442,06JAN2023:09:23:20,불량,NK-KA,일본,C,15,3400,37000,미적용,3호기,2열,1197,72,1178,56,213,1178,CR(제어압연),940,10,1조
PLT_1443,06JAN2023:09:31:58,불량,GL-A,독일,C,14,3400,37400,미적용,2호기,2열,1168,72,1171,79,245,1171,CR(제어압연),935,10,1조
PLT_1444,06JAN2023:09:40:39,불량,BV-A,프랑스,C,15,3300,39700,적용,3호기,1열,1196,65,1181,51,204,1181,CR(제어압연),937,10,1조
PLT_1445,06JAN2023:09:51:41,불량,LR-A,영국,C,15,3300,39700,미적용,3호기,1열,1196,65,1181,51,179,1181,CR(제어압연),937,10,1조
PLT_1446,06JAN2023:10:01:59,불량,NV-A,영국,C,15,3300,39700,적용,3호기,1열,1196,65,1181,51,172,1181,CR(제어압연),937,10,1조
PLT_1447,06JAN2023:10:10:25,불량,LR-A,영국,C,15,3300,39900,적용,1호기,1열,1199,73,1183,55,214,1183,CR(제어압연),952,10,1조
PLT_1448,06JAN2023:10:21:36,불량,NV-A,영국,C,15,3300,39900,적용,1호기,1열,1199,73,1183,55,210,1183,CR(제어압연),952,10,1조
PLT_1449,06JAN2023:10:30:31,양품,LR-A,영국,C,15,3600,39500,적용,1호기,2열,1164,111,1167,75,250,1167,CR(제어압연),933,10,1조
